"","school_year","local_student_id","subject_code","test_version","scale_score","performance_level"
"1","2023-2024","108232423","Algebra I","S",3400,"Did not meet"
"2","2023-2024","108248122","Algebra I","S",3865,"Approaches"
"3","2023-2024","108240602","Algebra I","S",3720,"Approaches"
"4","2023-2024","108060112","Algebra I","S",3901,"Approaches"
"5","2023-2024","108235952","Algebra I","S",3794,"Approaches"
"6","2023-2024","108248123","Algebra I","S",4622,"Masters"
"7","2023-2024","108234457","Algebra I","S",4153,"Meets"
"8","2023-2024","108234457","Algebra I","S",4153,"Meets"
"9","2023-2024","108233642","Algebra I","S",3865,"Approaches"
"10","2023-2024","108236887","Algebra I","S",4080,"Meets"
"11","2023-2024","108236887","Algebra I","S",4080,"Meets"
"12","2023-2024","108240605","Algebra I","S",3937,"Approaches"
"13","2023-2024","108240605","Algebra I","S",3937,"Approaches"
"14","2023-2024","108237649","Algebra I","S",3901,"Approaches"
"15","2023-2024","108244629","Algebra I","S",5235,"Masters"
"16","2023-2024","108244629","Algebra I","S",5235,"Masters"
"17","2023-2024","108233643","Algebra I","S",3720,"Approaches"
"18","2023-2024","108253827","Algebra I","S",3830,"Approaches"
"19","2023-2024","108234437","Algebra I","S",3683,"Approaches"
"20","2023-2024","108188392","Algebra I","S",3550,"Approaches"
"21","2023-2024","108049401","Algebra I","S",4153,"Meets"
"22","2023-2024","108233638","Algebra I","S",3444,"Did not meet"
"23","2023-2024","108233638","Algebra I","S",3444,"Did not meet"
"24","2023-2024","108051990","Algebra I","S",4153,"Meets"
"25","2023-2024","108039443","Algebra I","S",4000,"Meets"
"26","2023-2024","108062896","Algebra I","S",3901,"Approaches"
"27","2023-2024","108051681","Algebra I","S",3830,"Approaches"
"28","2023-2024","108100627","Algebra I","S",4190,"Meets"
"29","2023-2024","108051030","Algebra I","S",4153,"Meets"
"30","2023-2024","108137632","Algebra I","S",4190,"Meets"
"31","2023-2024","108074619","Algebra I","S",3865,"Approaches"
"32","2023-2024","108081290","Algebra I","S",4267,"Meets"
"33","2023-2024","108051575","Algebra I","S",3972,"Approaches"
"34","2023-2024","108039548","Algebra I","S",4267,"Meets"
"35","2023-2024","108246236","Algebra I","S",4476,"Masters"
"36","2023-2024","108251988","Algebra I","S",4388,"Masters"
"37","2023-2024","108038467","Algebra I","S",4306,"Meets"
"38","2023-2024","108053563","Algebra I","S",4734,"Masters"
"39","2023-2024","108039476","Algebra I","S",4044,"Meets"
"40","2023-2024","108052513","Algebra I","S",4267,"Meets"
"41","2023-2024","108078678","Algebra I","S",4228,"Meets"
"42","2023-2024","108050059","Algebra I","S",4622,"Masters"
"43","2023-2024","108146603","Algebra I","S",4796,"Masters"
"44","2023-2024","108185730","Algebra I","S",4796,"Masters"
"45","2023-2024","108047967","Algebra I","S",4734,"Masters"
"46","2023-2024","108070210","Algebra I","S",4345,"Masters"
"47","2023-2024","108146604","Algebra I","S",3830,"Approaches"
"48","2023-2024","108040588","Algebra I","S",5022,"Masters"
"49","2023-2024","108038674","Algebra I","S",3645,"Approaches"
"50","2023-2024","108040613","Algebra I","S",4000,"Meets"
"51","2023-2024","108053178","Algebra I","S",4000,"Meets"
"52","2023-2024","108038751","Algebra I","S",4228,"Meets"
"53","2023-2024","108039493","Algebra I","S",4476,"Masters"
"54","2023-2024","108039449","Algebra I","S",5380,"Masters"
"55","2023-2024","108052199","Algebra I","S",3830,"Approaches"
"56","2023-2024","108078932","Algebra I","S",3683,"Approaches"
"57","2023-2024","108052222","Algebra I","S",4267,"Meets"
"58","2023-2024","108194873","Algebra I","S",4080,"Meets"
"59","2023-2024","108052008","Algebra I","S",3830,"Approaches"
"60","2023-2024","108048505","Algebra I","S",3865,"Approaches"
"61","2023-2024","108053073","Algebra I","S",5235,"Masters"
"62","2023-2024","108053149","Algebra I","S",3757,"Approaches"
"63","2023-2024","108234059","Algebra I","S",4345,"Masters"
"64","2023-2024","108185732","Algebra I","S",3486,"Did not meet"
"65","2023-2024","108084865","Algebra I","S",6430,"Masters"
"66","2023-2024","108101648","Algebra I","S",4388,"Masters"
"67","2023-2024","108053383","Algebra I","S",4345,"Masters"
"68","2023-2024","108050097","Algebra I","S",3865,"Approaches"
"69","2023-2024","108085928","Algebra I","S",3720,"Approaches"
"70","2023-2024","108142759","Algebra I","S",4863,"Masters"
"71","2023-2024","108053020","Algebra I","S",4116,"Meets"
"72","2023-2024","108052152","Algebra I","S",3972,"Approaches"
"73","2023-2024","108052555","Algebra I","S",4622,"Masters"
"74","2023-2024","108052036","Algebra I","S",4431,"Masters"
"75","2023-2024","108051071","Algebra I","S",5579,"Masters"
"76","2023-2024","108050778","Algebra I","S",4476,"Masters"
"77","2023-2024","108053614","Algebra I","S",3486,"Did not meet"
"78","2023-2024","108053187","Algebra I","S",4153,"Meets"
"79","2023-2024","108201865","Algebra I","S",4116,"Meets"
"80","2023-2024","108039456","Algebra I","S",4044,"Meets"
"81","2023-2024","108187418","Algebra I","S",4153,"Meets"
"82","2023-2024","108185725","Algebra I","S",3645,"Approaches"
"83","2023-2024","108137631","Algebra I","S",4000,"Meets"
"84","2023-2024","108137636","Algebra I","S",4306,"Meets"
"85","2023-2024","108051315","Algebra I","S",4153,"Meets"
"86","2023-2024","108083025","Algebra I","S",4228,"Meets"
"87","2023-2024","108050039","Algebra I","S",4676,"Masters"
"88","2023-2024","108053142","Algebra I","S",4153,"Meets"
"89","2023-2024","108244798","Algebra I","S",3645,"Approaches"
"90","2023-2024","108050983","Algebra I","S",3683,"Approaches"
"91","2023-2024","108038777","Algebra I","S",4796,"Masters"
"92","2023-2024","108053461","Algebra I","S",4522,"Masters"
"93","2023-2024","108137633","Algebra I","S",4345,"Masters"
"94","2023-2024","108048604","Algebra I","S",4938,"Masters"
"95","2023-2024","108048604","Algebra I","S",4938,"Masters"
"96","2023-2024","108048604","Algebra I","S",4938,"Masters"
"97","2023-2024","108185734","Algebra I","S",3444,"Did not meet"
"98","2023-2024","108185734","Algebra I","S",3444,"Did not meet"
"99","2023-2024","108242778","Algebra I","S",3972,"Approaches"
"100","2023-2024","108089448","Algebra I","S",3830,"Approaches"
"101","2023-2024","108049158","Algebra I","S",4734,"Masters"
"102","2023-2024","108161649","Algebra I","S",3794,"Approaches"
"103","2023-2024","108152931","Algebra I","S",4734,"Masters"
"104","2023-2024","108049032","Algebra I","S",3489,"Did not meet"
"105","2023-2024","108053060","Algebra I","S",4734,"Masters"
"106","2023-2024","108137630","Algebra I","S",4000,"Meets"
"107","2023-2024","108234056","Algebra I","S",3757,"Approaches"
"108","2023-2024","108050777","Algebra I","S",4306,"Meets"
"109","2023-2024","108234066","Algebra I","S",3607,"Approaches"
"110","2023-2024","108201863","Algebra I","S",3645,"Approaches"
"111","2023-2024","108201863","Algebra I","S",3645,"Approaches"
"112","2023-2024","108201863","Algebra I","S",3645,"Approaches"
"113","2023-2024","108037372","Algebra I","S",3937,"Approaches"
"114","2023-2024","108057962","Algebra I","S",4153,"Meets"
"115","2023-2024","108198273","Algebra I","S",4388,"Masters"
"116","2023-2024","108086329","Algebra I","S",4431,"Masters"
"117","2023-2024","108051290","Algebra I","S",4306,"Meets"
"118","2023-2024","108066995","Algebra I","S",6430,"Masters"
"119","2023-2024","108078670","Algebra I","S",5022,"Masters"
"120","2023-2024","108060362","Algebra I","S",3444,"Did not meet"
"121","2023-2024","108163304","Algebra I","S",3901,"Approaches"
"122","2023-2024","108040823","Algebra I","S",4863,"Masters"
"123","2023-2024","108053528","Algebra I","S",5119,"Masters"
"124","2023-2024","108072787","Algebra I","S",4622,"Masters"
"125","2023-2024","108241973","Algebra I","S",4571,"Masters"
"126","2023-2024","108040616","Algebra I","S",4431,"Masters"
"127","2023-2024","108234051","Algebra I","S",4431,"Masters"
