"","SchoolYear","NCESDistrictID","StudentID","AdministrationDate","TermAssessmentSubject","ScaleScore","PercentileRank","GradeEquivalent","StudentGrowthPercentile","BenchmarkLevel","WindowName"
"1","2023-2024","108807015","108056888","2024-05-03 16:12:51.857","Math","833","76","> 9","65","1","EOY"
"2","2023-2024","108807087","108178174","2024-05-15 19:17:55.319","Math","229","1","0.4","1","4","EOY"
"3","2023-2024","108807015","108056931","2024-05-02 19:21:47.609","Math","722","33","5.9","24","2","EOY"
"4","2023-2024","108807015","108056944","2024-05-09 20:16:40.729","Math","883","89","> 9","","1","EOY"
"5","2023-2024","108807017","108064990","2024-05-15 15:38:22.667","Math","779","42","7.3","69","1","EOY"
"6","2023-2024","108807015","108201358","2024-05-02 14:20:30.798","Math","695","24","5.4","","3","EOY"
"7","2023-2024","108807108","108117688","2024-05-07 16:59:08.375","Math","678","61","5.2","7","1","EOY"
"8","2023-2024","108807087","108135561","2024-05-10 13:51:59.628","Math","806","66","8.3","77","1","EOY"
"9","2023-2024","108807017","108110302","2024-05-15 18:13:25.270","Math","637","8","4.6","6","4","EOY"
"10","2023-2024","108807015","108056113","2024-05-02 14:08:18.278","Math","836","78","> 9","44","1","EOY"
"11","2023-2024","108807087","108091531","2024-05-13 14:26:46.490","Math","495","1","2.9","1","4","EOY"
"12","2023-2024","108807108","108179113","2024-05-07 17:29:19.588","Math","709","74","5.7","96","1","EOY"
"13","2023-2024","108807015","108038879","2024-05-02 18:28:07.021","Math","786","57","7.5","6","1","EOY"
"14","2023-2024","108807087","108149213","2024-05-15 18:24:19.449","Math","814","69","8.7","","1","EOY"
"15","2023-2024","108807015","108057390","2024-05-02 13:16:58.127","Math","551","3","3.5","1","4","EOY"
"16","2023-2024","108807015","108056983","2024-05-02 13:39:59.851","Math","677","18","5.1","47","3","EOY"
"17","2023-2024","108807015","108060247","2024-05-02 19:12:37.676","Math","653","13","4.8","6","3","EOY"
"18","2023-2024","108807108","108114047","2024-05-07 17:08:09.960","Math","669","58","5.0","4","1","EOY"
"19","2023-2024","108807087","108229856","2024-05-13 18:46:12.021","Math","834","77","> 9","","1","EOY"
"20","2023-2024","108807015","108234171","2024-05-02 19:56:33.747","Math","847","81","> 9","22","1","EOY"
"21","2023-2024","108807015","108247810","2024-05-14 13:56:30.634","Math","560","3","3.6","7","4","EOY"
"22","2023-2024","108807017","108055786","2024-05-15 20:01:17.730","Math","630","7","4.5","10","4","EOY"
"23","2023-2024","108807108","108075546","2024-05-02 18:08:20.880","Math","715","76","5.8","71","1","EOY"
"24","2023-2024","108807015","108056918","2024-05-02 18:57:57.152","Math","913","95","> 9","97","1","EOY"
"25","2023-2024","108807015","108200561","2024-05-02 19:19:59.715","Math","915","95","> 9","99","1","EOY"
"26","2023-2024","108807017","108072589","2024-05-15 17:33:01.318","Math","905","86","> 10","93","1","EOY"
