"SchoolYear","NCES_District_ID","EmployeeID","CourseID","CourseName","SubjectArea","CourseSectionID","StudentID"
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",351924,108042880
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",351924,108188442
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",351924,108042860
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",-352228,108068760
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352228,108042879
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352227,108057980
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108183811
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",-352226,108105028
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108183805
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352227,108183799
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352228,108035465
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352228,108049498
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108049951
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108165592
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352227,108183808
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352227,108039674
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352227,108039775
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352228,108183822
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352228,108183827
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108183837
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352228,108183840
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108183845
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352228,108183847
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352227,108058917
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108058932
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108060112
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352228,108062753
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108188708
"2023-2024",108807011,"61028","xPAP0304000","Pre-AP Chemistry","SC",352226,108188709
