Academic Year,State,Area,Region,School,Grade Level,Student Number,Class Year,Class Cohort,Test Date,Grade Level Taken,English,Mathematics,Reading,Science,Composite,Writing,STEM,ELA,Exam Number,Highest Composite,Highest English,Highest Mathematics,Highest Reading,Highest Science,Growth Previous Exam,Number Exams Taken,Tier,Meets 21
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000433,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000440,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101006264,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000451,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101002638,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101003734,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101017685,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000467,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000765,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000471,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000473,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000474,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000476,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000482,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000792,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000484,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000491,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101000493,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101014627,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101025298,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101001982,2025,Juniors,,,,,,,,,,,0,,,,,,,0,,
2023-2024,LA,Southern Louisiana,East Baton Rouge,Bridge,11,101001120,2025,Juniors,3/1/2024,11,11,15,10,12,12,,14,,1,12,11,15,10,12,,1,,
