"","SchoolYear","NCES_District_ID","StudentID","School","Grade.Level","Student.Number","Class.Year","Class.Cohort","Test.Date","Grade.Level.Taken","English","Mathematics","Reading","Science","Composite","Writing","STEM","ELA","Exam.Number","Highest.Composite","Highest.English","Highest.Mathematics","Highest.Reading","Highest.Science","Growth.Previous.Exam","Number.Exams.Taken","max_Test.Date"
"1","2023-2024",108807011,108035263,"McAllen",10,108035263,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"2","2023-2024",108807011,108191707,"McAllen",10,108191707,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"3","2023-2024",108807011,108251509,"McAllen",10,108251509,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"4","2023-2024",108807011,108234457,"McAllen",10,108234457,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"5","2023-2024",108807011,108035258,"McAllen",10,108035258,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"6","2023-2024",108807011,108233642,"McAllen",10,108233642,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"7","2023-2024",108807011,108233645,"McAllen",10,108233645,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"8","2023-2024",108807011,108233643,"McAllen",10,108233643,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"9","2023-2024",108807011,108233644,"McAllen",10,108233644,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"10","2023-2024",108807011,108240603,"McAllen",10,108240603,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"11","2023-2024",108807011,108239008,"McAllen",10,108239008,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
"12","2023-2024",108807011,108233654,"McAllen",10,108233654,2026,"Sophomores","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,""
